,Warehouse id,Region,SKU id,01-04-2018 00:00,01-05-2018 00:00,01-06-2018 00:00,01-07-2018 00:00,01-08-2018 00:00,01-09-2018 00:00,01-10-2018 00:00,01-11-2018 00:00,01-12-2018 00:00,01-01-2019 00:00,01-02-2019 00:00,01-03-2019 00:00,01-04-2019 00:00,01-05-2019 00:00,01-06-2019 00:00,01-07-2019 00:00,01-08-2019 00:00,01-09-2019 00:00,01-10-2019 00:00,01-11-2019 00:00,01-12-2019 00:00,01-01-2020 00:00,01-02-2020 00:00,01-03-2020 00:00,01-04-2020 00:00,01-05-2020 00:00,01-06-2020 00:00,01-07-2020 00:00,01-08-2020 00:00,01-09-2020 00:00,01-10-2020 00:00,01-11-2020 00:00,01-12-2020 00:00,01-01-2021 00:00,01-02-2021 00:00,01-03-2021 00:00,01-04-2021 00:00,01-05-2021 00:00
80,1,NORTH,81,167.0,74.0,95.0,83.0,89.0,95.0,23.0,47.0,111.0,65.0,35.0,167.0,107.0,5.0,5.0,5.0,41.0,17.0,14.0,77.0,77.0,17.0,59.0,83.0,5.0,35.0,41.0,95.0,47.0,53.0,137.0,23.0,50.0,120.0,131.0,119.0,107.0,11.0
81,1,NORTH,82,172.0,152.0,216.0,84.0,162.6666667,164.0,146.0,110.0,208.0,142.0,40.0,156.6666667,192.0,144.0,28.0,120.0,92.0,112.0,60.0,96.0,48.0,28.0,52.0,80.0,16.0,56.0,48.0,76.0,32.0,48.0,190.0,16.0,68.0,40.0,76.0,120.0,60.0,76.0
85,1,NORTH,86,18.0,90.0,175.0,198.0,126.0,42.0,118.0,110.0,134.0,97.0,74.0,170.0,146.0,42.0,126.0,82.0,58.0,106.0,58.0,142.0,150.0,50.0,30.0,42.0,18.0,42.0,66.0,70.0,86.0,50.0,66.0,114.0,46.0,60.0,135.0,58.0,30.0,18.0
87,1,NORTH,88,633.0,627.0,451.0,295.0,377.0,305.0,485.0,687.0,381.0,613.0,189.0,617.0,825.0,319.0,393.0,167.0,157.0,187.0,205.0,425.0,323.0,265.0,173.0,275.0,17.0,37.0,217.0,197.0,451.0,185.0,195.0,341.0,309.0,257.0,417.0,447.0,125.0,49.0
88,1,NORTH,89,461.0,137.0,453.0,381.0,553.0,397.0,337.0,709.0,241.0,293.0,333.0,605.0,585.0,381.0,253.0,517.0,181.0,225.0,353.0,337.0,401.0,249.0,361.0,89.0,9.0,57.0,201.0,109.0,249.0,225.0,201.0,145.0,145.0,361.0,121.0,609.0,9.0,9.0
89,1,NORTH,90,287.0,381.6666667,307.0,147.0,259.0,335.0,347.0,379.0,79.0,39.0,139.0,275.0,199.0,43.0,283.0,127.0,23.0,159.0,55.0,115.0,131.0,55.0,55.0,87.0,15.0,55.0,55.0,83.0,67.0,179.0,127.0,123.0,171.0,131.0,119.0,267.0,139.0,87.0
90,1,NORTH,91,201.0,209.0,115.0,139.0,23.0,209.0,199.0,145.0,65.0,103.0,41.0,171.0,107.0,59.0,169.0,55.0,77.0,137.0,73.0,137.0,117.0,15.0,105.0,25.0,15.0,23.0,47.0,23.0,37.0,19.0,129.0,119.0,111.0,69.0,61.0,101.0,47.0,33.0
91,1,NORTH,92,6.0,6.0,6.0,51.0,225.0,201.0,6.0,30.0,249.0,165.0,66.0,231.0,180.0,180.0,192.0,165.0,78.0,183.0,192.0,208.0,144.0,39.0,60.0,51.0,6.0,18.0,102.0,90.0,72.0,57.0,141.0,198.0,117.0,99.0,177.0,39.0,57.0,24.0
92,1,NORTH,93,14.0,14.0,14.0,134.0,425.0,170.0,254.0,279.0,155.0,68.0,107.0,248.0,182.0,185.0,155.0,23.0,140.0,242.0,185.0,243.0,182.0,86.0,164.0,59.0,14.0,53.0,14.0,161.0,146.0,80.0,164.0,32.0,116.0,158.0,170.0,92.0,41.0,26.0
93,1,NORTH,94,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,58.0,24.0,124.0,125.3333333,28.0,66.0,36.0,32.0,38.0,52.0,68.0,30.0,14.0,50.0,32.0,10.0,22.0,34.0,74.0,48.0,90.0,62.0,60.0,30.0,34.0,66.0,84.0,18.0,10.0
94,1,NORTH,95,16.0,19.0,13.0,13.0,13.0,13.0,31.0,28.0,13.0,13.0,13.0,16.0,34.0,22.0,22.0,22.0,28.0,28.0,22.0,16.0,18.0,13.0,31.0,13.0,13.0,13.0,19.0,16.0,34.0,19.0,13.0,16.0,13.0,13.0,19.0,16.0,13.0,13.0
95,1,NORTH,96,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,119.0,119.0,26.0,65.0,122.0,35.0,41.0,41.0,95.0,53.0,17.0,59.0,47.0,11.0,23.0,35.0,89.0,95.0,47.0,29.0,53.0,95.0,47.0,83.0,89.0,89.0,71.0
96,1,NORTH,97,190.0,94.0,222.0,502.0,214.0,670.0,246.0,550.0,414.0,250.0,86.0,426.0,246.0,362.0,198.0,398.0,134.0,166.0,562.0,510.0,488.6666667,134.0,46.0,38.0,54.0,118.0,294.0,222.0,414.0,30.0,446.0,342.0,150.0,318.0,230.0,254.0,22.0,126.0
97,1,NORTH,98,150.0,68.0,120.0,54.0,131.0,191.0,113.0,194.0,116.0,85.0,49.0,157.0,150.0,124.0,52.0,172.0,52.0,84.0,178.0,168.0,146.3333333,62.0,46.0,59.0,35.66666667,28.0,38.0,68.0,90.0,46.0,122.0,72.0,69.0,80.0,106.0,98.0,30.0,60.0
98,1,NORTH,99,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,64.0,64.0,62.0,32.0,72.0,56.0,78.66666667,76.66666667,50.0,46.0,69.0,64.0,30.0,32.0,42.0,18.0,18.0,34.0,58.0,68.0,30.0,18.0,30.0,38.0,46.0,44.0,56.0,44.0,18.0
99,1,NORTH,100,91.0,11.0,171.0,171.0,99.0,11.0,99.0,187.0,327.0,115.0,227.0,11.0,211.0,275.0,11.0,491.0,299.0,11.0,39.0,51.0,27.0,51.0,27.0,27.0,11.0,11.0,43.0,131.0,11.0,239.0,411.0,11.0,211.0,43.0,324.3333333,411.0,11.0,11.0
102,1,NORTH,103,103.0,121.0,103.0,10.0,115.0,133.0,190.0,103.0,166.0,103.0,34.0,16.0,55.0,16.0,28.0,106.0,10.0,151.0,112.0,151.0,175.0,58.0,76.0,28.0,10.0,37.0,85.0,43.0,118.0,79.0,85.0,58.0,100.0,43.0,79.0,96.0,13.0,55.0
103,1,NORTH,104,304.0,224.0,56.0,96.0,52.0,304.0,232.0,269.3333333,192.0,172.0,20.0,224.0,224.0,212.0,120.0,220.0,136.0,224.0,248.0,328.0,224.0,56.0,96.0,108.0,104.0,200.0,200.0,180.0,260.0,272.0,324.0,60.0,200.0,84.0,256.0,244.0,200.0,32.0
104,1,NORTH,105,44.0,48.0,83.0,87.0,55.0,88.0,101.3333333,99.0,65.0,40.0,29.0,58.0,28.0,24.0,39.0,83.0,19.0,27.0,34.0,83.0,43.0,24.0,36.0,42.0,27.0,25.0,21.0,29.0,31.0,65.0,74.0,32.0,27.0,23.0,40.0,57.0,19.0,19.0
105,1,NORTH,106,1290.0,1586.0,950.0,490.0,1330.0,1522.0,1582.0,2262.0,2038.0,1502.0,834.0,2700.666667,1934.0,1670.0,1722.0,634.0,558.0,1426.0,554.0,1310.0,1654.0,802.0,1046.0,1050.0,2.0,130.0,234.0,658.0,574.0,826.0,534.0,1082.0,1362.0,882.0,966.0,2118.0,146.0,82.0
106,1,NORTH,107,640.0,733.0,691.0,469.0,562.0,634.0,490.0,988.0,607.0,604.0,247.0,1000.0,768.0,343.0,472.0,739.0,196.0,550.0,199.0,421.0,427.0,208.0,277.0,382.0,10.0,34.0,118.0,70.0,331.0,70.0,343.0,412.0,274.0,106.0,340.0,538.0,85.0,22.0
107,1,NORTH,108,173.0,833.0,281.0,145.0,679.0,569.0,483.0,804.3333333,817.0,655.0,281.0,831.6666667,899.0,273.0,507.0,541.0,153.0,267.0,347.0,285.0,831.0,301.0,237.0,429.0,17.0,125.0,125.0,273.0,329.0,361.0,341.0,445.0,563.0,331.0,533.0,625.0,313.0,37.0
108,1,NORTH,109,17.0,257.0,69.0,105.0,113.0,298.3333333,117.0,217.0,85.0,25.0,57.0,177.0,69.0,125.0,117.0,9.0,9.0,81.0,69.0,109.0,129.0,9.0,49.0,41.0,209.0,9.0,9.0,17.0,25.0,9.0,9.0,89.0,9.0,137.0,89.0,9.0,9.0,9.0
109,1,NORTH,110,49.0,5.0,61.0,17.0,5.0,141.0,7.0,5.0,47.0,5.0,127.0,45.0,5.0,5.0,25.0,21.0,182.3333333,5.0,5.0,5.0,105.0,5.0,55.0,205.0,5.0,33.0,5.0,5.0,155.6666667,149.0,5.0,5.0,9.0,15.0,9.0,11.0,5.0,5.0
110,1,NORTH,111,150.0,243.0,252.0,93.0,42.0,247.0,234.0,372.0,237.0,222.0,96.0,272.0,153.0,24.0,114.0,252.0,204.0,345.0,351.0,177.0,246.0,447.0,318.0,6.0,3.0,33.0,48.0,51.0,57.0,9.0,15.0,72.0,63.0,177.0,444.0,129.0,57.0,3.0
111,1,NORTH,112,6.0,36.0,16.0,6.0,6.0,28.0,6.0,6.0,6.0,20.0,6.0,20.0,6.0,6.0,14.0,6.0,6.0,6.0,6.0,6.0,14.0,52.0,56.0,6.0,6.0,58.0,6.0,8.0,6.0,42.0,6.0,6.0,6.0,10.0,14.0,18.0,6.0,6.0
112,1,NORTH,113,352.0,223.0,745.0,409.0,169.0,283.0,85.0,1066.0,1324.0,151.0,175.0,811.0,184.0,313.0,541.0,187.0,247.0,909.0,817.0,892.0,1076.0,955.0,883.0,67.0,1.0,76.0,79.0,28.0,49.0,73.0,1.0,61.0,163.0,487.0,775.0,232.0,19.0,1.0
113,1,NORTH,114,3.0,5.0,3.0,35.0,3.0,13.0,3.0,35.0,29.0,3.0,19.0,3.0,26.33333333,31.0,3.0,3.0,11.0,11.0,3.0,5.0,17.66666667,3.0,43.0,23.0,3.0,3.0,3.0,29.0,3.0,43.0,3.0,15.0,3.0,27.0,11.0,3.0,3.0,3.0
114,1,NORTH,115,26.0,54.0,82.0,38.0,34.0,26.0,18.0,40.0,22.0,84.0,62.0,26.0,18.0,66.0,110.0,90.0,42.0,54.0,108.0,76.0,88.0,42.0,18.0,30.0,18.0,22.0,30.0,30.0,80.0,18.0,30.0,22.0,28.0,18.0,58.0,46.0,26.0,28.0
115,1,NORTH,116,12.0,14.0,4.0,8.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,12.66666667,4.0,6.0,4.0,4.0
116,1,NORTH,117,4.0,4.0,10.0,16.0,4.0,64.0,4.0,19.0,4.0,29.0,4.0,7.0,84.0,4.0,4.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22.0,4.0,13.0,4.0,31.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
118,1,NORTH,119,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,34.0,30.0,48.0,104.0,27.0,23.0,28.0,20.0,20.0,24.0,20.0,20.0,20.0,20.0,46.0,148.6666667,172.6666667,118.0,38.0,50.0,20.0,89.0,92.0,21.0,100.0,32.0,38.0
